OA11CD,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Population_3_and_over,Total_Population_school_census,Total_Population_census,Total_Households_census,Total_Population_16_and_over_census,Total_Population_16_to_74_census,Total_Population_3_and_over_census,RM2018_01,RM2018_02,RM2018_03,RM2018_04,RM2018_05,RM2018_06,RM2018_07,RM2018_08,RM2018_09,RM2018_10,RM2018_11,RM2018_12,RM2018_13,RM2018_14,RM2018_15,RM2018_17,RM2018_18,RM2018_21,RM2018_22,RM2018_23,RM2018_24,RM2018_25,RM2018_26,RM2018_27,RM2018_28,RM2018_29,RM2018_30,RM2018_31,RM2018_32,RM2018_33,RM2018_34,RM2018_35,RM2018_36,RM2018_40,RM2018_41,RM2018_42,RM2018_43
E00000299,350,130,267,228,333,49,301,116,231,197,289,28,49,81,42,61,9,0,162,61,6,10,10,11,76,0,28,86,20,33,24,27,15,6,1,78,37,15,0,119.6615041,35,79,23,38,5,7,29,4
E00000300,341,124,234,217,322,77,301,121,216,197,283,28,73,95,54,26,2,0,174,42,3,22,5,11,70,4,30,69,24,31,14,9,22,23,0,53,45,25,0,102.0581768,34,69,25,29,11,11,24,17
E00000301,451,147,304,280,431,116,352,132,240,204,328,38,102,117,58,47,5,0,211,61,6,12,7,15,124,11,41,80,20,47,21,23,16,17,2,60,59,28,0,93.26271626,32,70,24,53,11,6,38,16
E00000302,342,133,261,240,321,49,321,133,252,228,311,30,48,111,42,44,4,0,188,77,7,12,2,5,39,6,20,85,27,36,15,22,21,10,1,75,32,25,0,124.4680326,40,103,19,31,6,10,23,5
E00000303,403,143,276,267,388,106,358,143,257,241,334,31,85,124,65,24,0,0,226,59,16,36,5,6,35,9,44,77,30,43,9,9,29,20,0,74,50,17,0,80.74855867,23,93,34,38,7,4,29,18
E00000304,193,122,160,147,178,13,172,122,148,132,162,20,12,78,31,18,3,0,106,33,3,8,2,7,28,3,7,97,14,19,3,16,64,3,0,23,80,19,0,140.6514777,19,43,12,22,10,4,37,1
E00000305,471,161,339,321,451,104,446,136,319,316,426,28,94,136,62,32,2,57,232,63,6,17,13,8,104,15,31,94,34,51,8,18,34,15,1,11,138,12,0,57.02132056,22,104,20,92,11,2,65,42
E00000306,349,122,249,237,325,72,291,118,221,202,276,33,58,113,34,33,2,0,182,74,4,14,16,7,37,2,44,73,27,32,10,16,20,12,4,59,39,23,0,110.2841813,24,77,22,43,8,4,23,12
E00000307,398,146,301,280,377,62,382,146,290,272,360,37,56,100,52,51,1,0,176,75,3,6,29,9,87,2,31,100,29,32,22,16,33,12,1,73,38,34,0,85.97368324,25,118,21,46,11,6,25,5
E00000308,345,123,269,243,330,55,420,165,312,286,394,21,54,90,40,49,3,0,171,71,7,4,14,11,47,5,25,85,31,31,25,14,15,3,2,86,13,24,0,66.65180588,34,94,34,81,7,6,9,5
