"OA","RM2018_01","RM2018_02","RM2018_03","RM2018_04","RM2018_05","RM2018_06","RM2018_08","RM2018_09","RM2018_10","RM2018_11","RM2018_12","RM2018_13","RM2018_14","RM2018_15","RM2018_17","RM2018_18","RM2018_21","RM2018_22","RM2018_23","RM2018_24","RM2018_25","RM2018_26","RM2018_27","RM2018_28","RM2018_29","RM2018_30","RM2018_31","RM2018_40","RM2018_41","RM2018_42","RM2018_43","Cluster"
"RM108NP",0.425734241918612,0.76656342812435,0.743069327532208,0.875525124520568,0.601743164971955,0,0.843503301754238,0.404797871125219,0.491657914827983,0,0.343878926530643,0.352464338783431,0.868961358499004,0.194195831848523,0.632958337013139,0.895813041836844,0.707442978434872,0.754834257249519,0.73262092147939,0.352624906644657,0.554331450280536,0.6234913155169,0.446435765973937,0.923479112156337,0.73262092147939,0.547989023548127,0,0.47216555821359,0.435241970278305,0.616921257274696,0.427424614774864,2
"RM108NR",0.425734241918612,0.754886465974256,0.776678473036872,0.85737041222887,0.601743164971955,0,0.885610112819829,0.763379527574105,0.410591842272076,0,0,0,0.691876375706568,0,0.79268754492734,0.928381143291016,0.782487836902409,0.748097580522071,0.651806114163209,0.588215746432523,0.58217576684358,0.461839115535288,0,0.836763766653412,0.836763766653412,0.651806114163209,0,0.575514757181002,0,0.667920138750775,0.531674104170656,1
"RM108NS",0.388627840077594,0.480122349721222,0.854818371924298,0.796307903837165,0.596271616468013,0,0.890780502487721,0.829733568145964,0.37480523083267,0.247338564253494,0,0,0.575733959678568,0,0,0.957886924859061,0.807206984625528,0.524026589664096,0.696350596921783,0.404077434710434,0.704410160984672,0.621533555136533,0,0.827085632764784,0.861487681577913,0.524026589664096,0,0.395352433405783,0.498749394935961,0.778581905667901,0,6
"RM108NT",0.476567167747491,0.80805976530258,0.836281794724446,0.77992044413618,0.570815739032906,0,0.779044471977227,0.807401802480309,0.541467877401039,0.251296683358204,0.141886177969711,0.479683353799534,0.767978449841875,0.169807705141697,0.919331328215514,0.90071488991941,0.720451079075819,0.754834257249519,0.418840623915933,0.637976121862818,0.686238287811993,0.567516694271169,0.541969661803267,0.907836952093053,0.678386638660174,0.700586909986848,0,0.547989023548127,0.371279912632708,0.669376903851822,0.670010128894271,2
"RM108NU",0.560043304510019,0.760976885932108,0.841843296361354,0.784802694558518,0.449172350940324,0,0.919704654026265,0.753652660938901,0,0,0,0,0.628566739613941,0.341611532778699,0.738423925006285,0.899859055655341,0.80347094091253,0.787055759032915,0.466608570146064,0.476906117446365,0.603325873827619,0.483236236253981,0.439522561557205,0.769076539140413,0.87997669151938,0.672761002972591,0,0.339668281975851,0.428502105463239,0.83880930443004,0.738423925006285,2
"RM108NX",0.625096279054442,0.78564559317065,0.843961439395303,0.643763657991682,0.55311646210686,0.206647089117531,0.869190749333675,0.712782957726711,0.172390638774946,0.172845099885552,0.276902515701709,0.360916180722307,0.738943382806503,0.537001189439177,0.79268754492734,0.903596039974303,0.671184144937023,0.772811936598714,0.565879428584727,0.578367776538333,0.726872618092315,0.586044626564053,0,0.887176153562039,0.607826330621298,0.787911309657049,0,0.51194602349404,0.713874504785611,0.713565855257875,0.729223082090792,1
"RM108PA",0.538314979051275,0.696759075926935,0.832877724054814,0.57486264077143,0.572325131194855,0,0.857012459724627,0.650998899140266,0,0,0.640708037989134,0.481604639090579,0.775810667725757,0,0.945707051341253,0.898279876740151,0.661991325345404,0.738423925006285,0.661991325345404,0,0.746970445904617,0.550620390304253,0.687973462872029,0.869190749333675,0.834787994601473,0.531674104170656,0,0,0.670723423842102,0.812284456204576,0.738423925006285,2
"RM108PB",0.694528947003276,0.725568215425498,0.85293395350974,0.720113027563272,0.575380020375519,0.248204925087164,0.845273294851106,0.848990399251745,0.669826130442841,0.207605174851395,0,0,0.558593008434308,0,0.914700039627276,0.895813041836844,0.644038211851857,0.73262092147939,0.47216555821359,0.615323935244812,0.741100278396117,0.666988609749737,0.446435765973937,0.86338415722399,0.754834257249519,0.73262092147939,0,0.47216555821359,0,0.695157789985258,0.809103143579341,2
"RM108PD",0.513628174287713,0.67136780502885,0.727590209336076,0.769621394619335,0.471266520109336,0,0.846965593982377,0.658327812955435,0.495359587176339,0,0,0,0.832821679664207,0.327469380181796,0.632958337013139,0.929286268367683,0.814908804676277,0.780512502426345,0.47789815926988,0.621240401408687,0.614861314539468,0,0,0.869190749333675,0.843994040296643,0.47789815926988,0,0,0,0.756679324925131,0.632958337013139,1
"RM108PH",0.632770023224594,0.754102622042614,0.820236461726521,0.819696107906024,0.467048496502776,0.231413789179316,0.873248999050936,0.601652235344833,0.311413132672311,0,0.665030659493477,0.24415234145457,0.727254417116248,0,0.955387241495941,0.892809646508712,0.750595682458853,0.72541348528345,0.565879428584727,0.37016189401945,0.669653215087845,0.6855814851248,0.468638220321356,0.842188394775032,0.750595682458853,0.772811936598714,0,0.619970815825954,0.456887726984431,0.713565855257875,0.445947702531524,2
