"OA","RM2018_01","RM2018_02","RM2018_03","RM2018_04","RM2018_05","RM2018_06","RM2018_07","RM2018_08","RM2018_09","RM2018_10","RM2018_11","RM2018_12","RM2018_13","RM2018_14","RM2018_15","RM2018_17","RM2018_18","RM2018_21","RM2018_22","RM2018_23","RM2018_24","RM2018_25","RM2018_26","RM2018_27","RM2018_28","RM2018_29","RM2018_30","RM2018_31","RM2018_32","RM2018_33","RM2018_34","RM2018_35","RM2018_36","RM2018_40","RM2018_41","RM2018_42","RM2018_43","Cluster"
"E00000169",0.703372760418108,0.732558968103241,0.362200696619521,0.870179825996506,0.765308409879822,0.407296307016131,0,0.902260383200656,0.688749335334381,0.204614187065054,0.30757927958104,0.259062076612557,0.368530152953651,0.754389962834082,0.198679428150374,0.390342429178762,0.755597840890395,0.776077607030831,0.797370906001953,0.804403200755627,0.806675897976765,0.692906379256599,0.787044614123329,0.584442088545811,0.78182708882444,0.915499825928027,0.513594877788041,0,0.777400574296038,0.862978331448558,0.827860322502643,0.494444269030881,0.154098368274583,0.687901113975845,0.55451219222024,0.936971938387394,0.652800115750889,6
"E00000170",0.710935335996806,0.633490903176099,0.412675952124158,0.842267934716327,0.693804096304077,0.267629124077665,0,0.816579771046325,0.780808829016141,0.421810354315952,0.427106785975109,0.352513890244426,0.501470533969186,0.794568560441807,0.574542729558388,0.527475542995634,0.74617274380669,0.916554737522045,0.847040894216317,0.85864751358596,0.664058029742089,0.602668576591498,0.70662720320575,0.508775937965351,0.87327830289956,0.808381006236635,0.635433422491012,0,0.728090826735704,0.800093896427831,0.796685715635171,0.610761627295545,0.275795440401894,0.662597463401744,0.780059894899666,0.738691371851568,0.605231408522105,6
"E00000171",0.60907071465286,0.669846889036505,0.476542144509695,0.866930295778833,0.722470514321993,0,0,0.875297916914919,0.810986042362215,0.104903056245567,0.169402201765985,0.507220064591511,0.509101402104357,0.69180259650853,0.50014296156555,0.586233375293149,0.760771324478097,0.882964987278475,0.857865645184878,0.863983501292776,0.698150883507811,0.645669003402596,0.692820222875622,0,0.854555707833362,0.841903532427093,0.591064777173995,0,0.863624965311487,0.912765545146994,0.737034681740952,0.557502574887154,0.193880370046337,0.706087326988922,0.745375430393324,0.797591380860158,0.591741061805193,6
"E00000172",0.718028890875095,0.623675945777027,0.522766092814041,0.881884818222371,0.67350397931462,0,0,0.882174199343683,0.872165397671913,0.130506407199292,0.339515499967537,0.179418558545572,0.461098894362274,0.634489780298368,0.401643075344996,0.33040209612485,0.736974066102365,0.931479549061845,0.878759626764318,0.764359243740402,0.670544063151977,0.652927381951884,0.619487070053224,0.565341460934265,0.88581691459339,0.792546535140678,0.61530905906843,0,0.770188602414221,0.875873599432363,0.827432882512945,0.543725028595063,0.269094710887396,0.670858520978675,0.603223139326747,0.778270972045953,0.511012981815458,6
"E00000173",0.694499910063183,0.685819003400472,0.487547138860436,0.903982587041174,0.593355159006892,0.169152766051384,0.816025090308314,0.768771509797497,0.884474059053443,0.361491504696339,0.302744610229892,0.312146219184528,0.668182887257445,0.77860965597588,0.333935429736811,0.631673406530179,0.691918792396347,0.881646426074331,0.898619833028285,0.663890209781695,0.565112216078488,0.756032710889859,0.678744764744605,0.359432569259314,0.85912444530054,0.683708433107616,0.810989726186598,0,0.834816120051272,0.895056217960725,0.700982732150752,0.544300637528216,0.461289692332293,0.803458336067923,0.34102564794957,0.75949257878757,0.72541348528345,6
"E00000174",0.715849028162766,0.627119080438152,0.508569463584595,0.853308255156735,0.685555521436168,0.109832618260732,0,0.749502623876003,0.910292875524747,0.261848880368351,0.258790488135985,0.523818198033127,0.515311652531592,0.71278182072073,0.187043587867282,0.577593960551863,0.762152905540361,0.923501680731051,0.833876345142703,0.829216148425703,0.603682683829375,0.685590750291502,0.68114734556728,0.688468884746101,0.942262240348338,0.135660395320159,0.764698430797888,0,0.617309057731748,0.722687167581275,0.880429176191712,0.62008398866775,0.380692847937277,0.636458398692789,0.868727501405181,0.445335696899572,0.655814111734163,8
"E00000175",0.723115072296764,0.705956027236371,0.487970432435931,0.839190077130329,0.684100573736103,0.286587927263187,0,0.775994289427359,0.822294317179036,0,0.161810490611468,0.507431432980861,0.421682058529961,0.820738452115842,0.663919834390461,0.623435528000279,0.689233148375671,0.866784785550125,0.88793105564177,0.73701694065945,0.614074081197688,0.722924160748101,0.692497006338375,0.632131009476028,0.83752922524029,0.697122320530216,0.83418242161761,0,0.655487705832905,0.601145253158917,0.813144256390148,0.501535170271103,0.584828899187955,0.819737434960557,0.399579366850862,0.78149940485325,0.627074642173536,6
"E00000176",0.67200104325632,0.629511565524726,0.457008977740645,0.849929486318984,0.719937169912756,0.302052596270435,0,0.856531194734331,0.728286914745604,0.287439071304607,0.376562449267571,0.675708934339173,0.476924668841476,0.633870735221045,0.829504948453554,0.513115781022264,0.773872835645391,0.893503920736236,0.821515707163862,0.871624990975737,0.678671074324174,0.657228723395109,0.652590094376449,0.774006949208007,0.961421917369507,0,0.683167731837398,0,0.649167123001778,0.84481008835055,0.877775271456299,0.631501794967237,0.329536342738912,0.469901022292284,0.824075438108344,0.357057915477961,0.377952720003511,1
"E00000177",0.736069139891148,0.631344099412296,0.60761602649568,0.845299532721249,0.622898901452862,0.214476489502816,0,0.742752613415631,0.921341708780385,0.195614352845619,0.562440903299495,0.339579391407576,1,0.59957370224274,0.342086250646521,0.734838667255375,0.868686631814027,0.741914744086446,0.747646263411498,0.591226306352544,0.666737011153785,0.907280868549776,0.630672856414002,0,0.811259369992955,0.718527489680957,0.841198734725748,0,0.748588219571843,0,0.822143248713211,0.521774527812262,0.464527640902574,0.789930586834929,0.705787534487069,0.733201805864885,0.632958337013139,7
"E00000178",0.671289922806085,0.624723301942414,0.44655896923839,0.899924263693959,0.687896325943755,0,0,0.799781235044441,0.826294636669918,0.506774538498755,0.523036318574969,0.444330586309585,0.46435794476157,0.727763289340567,0.532022248573093,0.641605212461862,0.734310071996987,0.939668530435622,0.8616608283953,0.805716331950768,0.66271049606007,0.601445616895692,0.575762566833155,0.690982776867531,0.935612636185291,0.394080349714023,0.760234756377917,0,0.692056834012955,0.768833632279668,0.773466603911396,0.73024801541808,0.506881872810735,0.718922982417563,0.502391834541659,0.593931729124328,0.384702168352815,8
