"OA11CD","RM2018_01_PCT","RM2018_02_PCT","RM2018_02a_PCT","RM2018_03_PCT","RM2018_04_PCT","RM2018_05_PCT","RM2018_06_PCT","RM2018_08_PCT","RM2018_09_PCT","RM2018_10_PCT","RM2018_11_PCT","RM2018_12_PCT","RM2018_13_PCT","RM2018_14_PCT","RM2018_15_PCT","RM2018_17_PCT","RM2018_18_PCT","RM2018_21_PCT","RM2018_22_PCT","RM2018_23_PCT","RM2018_24_PCT","RM2018_25_PCT","RM2018_26_PCT","RM2018_27_PCT","RM2018_28_PCT","RM2018_29_PCT","RM2018_30_PCT","RM2018_31_PCT","RM2018_40_PCT","RM2018_41_PCT","RM2018_42_PCT","RM2018_43_PCT"
"RM66YH",7.14285714285714,10,8.57142857142857,34.2857142857143,7.14285714285714,22.8571428571429,0,35.7142857142857,1.42857142857143,17.1428571428571,10,11.4285714285714,1.42857142857143,5.71428571428571,11.4285714285714,33.3333333333333,69.2307692307692,3.84615384615385,23.0769230769231,34.6153846153846,11.5384615384615,19.2307692307692,7.69230769230769,0,73.0769230769231,0,26.9230769230769,0,3.84615384615385,7.69230769230769,11.5384615384615,16.6666666666667
"RM66YJ",3.84615384615385,7.69230769230769,15.3846153846154,30.7692307692308,15.3846153846154,15.3846153846154,0,57.6923076923077,15.3846153846154,3.84615384615385,0,7.69230769230769,0,3.84615384615385,3.84615384615385,0,77.7777777777778,33.3333333333333,22.2222222222222,22.2222222222222,11.1111111111111,11.1111111111111,0,0,44.4444444444444,55.5555555555556,0,0,0,0,33.3333333333333,0
"RM66YS",6.57894736842105,21.0526315789474,17.1052631578947,27.6315789473684,11.8421052631579,6.57894736842105,0,38.1578947368421,5.26315789473684,17.1052631578947,6.57894736842105,18.4210526315789,2.63157894736842,5.26315789473684,0,77.7777777777778,42.8571428571429,14.2857142857143,42.8571428571429,9.52380952380952,4.76190476190476,14.2857142857143,9.52380952380952,4.76190476190476,61.9047619047619,14.2857142857143,19.047619047619,0,4.76190476190476,4.76190476190476,14.2857142857143,22.2222222222222
"RM66YT",2.08333333333333,10.4166666666667,14.5833333333333,33.3333333333333,8.33333333333333,18.75,0,39.5833333333333,6.25,12.5,4.16666666666667,18.75,0,12.5,6.25,20,76.4705882352941,23.5294117647059,23.5294117647059,23.5294117647059,11.7647058823529,17.6470588235294,0,0,88.2352941176471,0,11.7647058823529,0,0,5.88235294117647,0,0
"RM66YU",9.09090909090909,39.3939393939394,15.1515151515152,18.1818181818182,15.1515151515152,3.03030303030303,0,12.1212121212121,3.03030303030303,6.06060606060606,18.1818181818182,24.2424242424242,3.03030303030303,30.3030303030303,0,87.5,22.2222222222222,0,44.4444444444444,0,0,22.2222222222222,22.2222222222222,0,0,0,100,0,22.2222222222222,0,22.2222222222222,12.5
"RM66YX",23.8095238095238,9.52380952380952,9.52380952380952,28.5714285714286,23.8095238095238,4.76190476190476,0,0,14.2857142857143,0,23.8095238095238,38.0952380952381,0,0,14.2857142857143,100,60,60,20,0,0,0,0,20,100,0,0,0,0,0,0,0
"RM70JA",4,4,12,24,28,12,0,68,0,20,0,0,8,4,0,0,77.7777777777778,33.3333333333333,22.2222222222222,11.1111111111111,11.1111111111111,22.2222222222222,0,0,77.7777777777778,0,22.2222222222222,0,0,0,0,0
"RM70PH",0,0,50,59.0909090909091,0,0,0,40.9090909090909,9.09090909090909,0,0,4.54545454545455,0,18.1818181818182,0,0,100,100,0,0,0,0,0,0,0,0,100,0,100,0,0,0
"RM70RJ",2.73972602739726,8.21917808219178,8.21917808219178,16.4383561643836,19.1780821917808,24.6575342465753,2.73972602739726,64.3835616438356,20.5479452054795,4.10958904109589,1.36986301369863,0,0,4.10958904109589,0,0,84.375,21.875,15.625,25,21.875,15.625,0,0,90.625,3.125,6.25,0,0,12.5,3.125,0
"RM70RR",0,15,0,25,30,0,0,90,5,0,0,0,0,0,0,0,94.1176470588235,0,0,0,0,94.1176470588235,5.88235294117647,0,88.2352941176471,5.88235294117647,5.88235294117647,0,0,0,5.88235294117647,0
