POSTCODE,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Population_3_and_over,Total_Population_school_census,RM2018_01,RM2018_02,RM2018_02a,RM2018_03,RM2018_04,RM2018_05,RM2018_06,RM2018_08,RM2018_09,RM2018_10,RM2018_11,RM2018_12,RM2018_13,RM2018_14,RM2018_15,RM2018_17,RM2018_18,RM2018_21,RM2018_22,RM2018_23,RM2018_24,RM2018_25,RM2018_26,RM2018_27,RM2018_28,RM2018_29,RM2018_30,RM2018_31,RM2018_40,RM2018_41,RM2018_42,RM2018_43
RM95AB,45,19,32,26,43,10,4,8,3,11,6,4,2,23,5,0,0,0,1,15,1,9,14,4,2,2,3,5,3,0,7,7,5,0,0,1,5,0
RM95AE,66,21,44,42,62,10,6,15,5,17,8,8,0,30,8,5,0,5,0,17,0,2,11,1,8,5,2,3,2,0,10,9,2,0,0,1,10,7
RM95AF,22,10,16,15,22,4,0,6,1,7,3,3,0,10,5,0,1,5,1,0,0,2,7,1,2,2,1,3,1,0,3,3,4,0,2,1,3,2
RM95AG,78,29,57,49,73,10,7,12,7,22,15,9,0,37,14,1,0,1,7,10,2,5,18,7,5,3,3,5,4,1,10,12,7,0,5,1,6,3
RM95AH,97,36,71,63,94,18,5,21,9,25,19,12,1,49,10,0,5,4,1,19,4,6,23,9,8,4,6,4,4,1,17,11,8,0,5,2,7,4
RM95AL,52,24,33,30,48,12,8,11,3,18,5,7,0,14,18,1,5,0,4,7,2,6,12,1,5,0,5,6,4,2,13,0,11,0,0,1,1,0
RM95AN,27,11,19,18,24,3,5,2,4,11,2,1,0,5,14,0,2,0,0,6,0,2,5,1,2,0,1,3,3,0,0,0,11,0,0,0,3,0
RM95AP,82,23,60,58,80,20,5,17,13,29,10,3,0,39,11,7,0,6,3,14,0,10,11,8,7,1,1,1,4,1,12,8,3,0,1,0,3,2
RM95AR,103,44,81,68,99,16,6,14,5,22,21,19,0,61,18,0,0,0,1,17,2,6,31,10,8,7,6,8,4,1,22,16,6,0,1,2,13,5
RM95AS,143,57,116,110,140,22,7,20,22,42,23,14,2,67,24,2,8,15,1,19,4,14,40,12,16,5,9,14,1,0,22,28,7,0,3,1,17,0
RM95AT,41,12,29,28,39,8,4,8,5,10,6,3,0,23,5,3,0,0,0,3,0,4,6,2,6,2,0,2,0,0,6,3,3,0,0,1,1,2
RM95AU,117,40,87,79,113,18,13,16,9,34,19,16,0,53,38,0,1,8,1,12,0,12,26,7,8,7,4,8,4,2,23,10,5,0,4,4,5,3
RM95AW,25,7,16,16,23,1,2,5,6,7,4,1,0,4,13,0,0,0,0,7,0,1,3,0,2,0,0,3,1,1,0,0,7,0,0,0,0,0
